PDF2JSON Page Size: Width=37.25, Height=52.625
Found: "台" at x=12.902, y=1.6789999999999998
Found: "灣" at x=14.151, y=1.6789999999999998
Found: "拿" at x=15.401, y=1.6789999999999998
Found: "撒" at x=16.65, y=1.6789999999999998
Found: "勒" at x=17.9, y=1.6789999999999998
Found: "人" at x=19.149, y=1.6789999999999998
Found: "會" at x=20.399, y=1.6789999999999998
Found: "神" at x=21.648, y=1.6789999999999998
Found: "學" at x=22.898, y=1.6789999999999998
Found: "院" at x=24.147, y=1.6789999999999998
Found: " " at x=25.397, y=1.6789999999999998
Found: "學" at x=13.204, y=3.066
Found: "生" at x=14.189, y=3.066
Found: "課" at x=15.173, y=3.066
Found: "程" at x=16.157, y=3.066
Found: "請" at x=17.142, y=3.066
Found: "假" at x=18.126, y=3.066
Found: "單" at x=19.11, y=3.066
Found: "(" at x=20.095, y=3.066
Found: "教" at x=20.345, y=3.066
Found: "務" at x=21.095, y=3.066
Found: "處" at x=21.845, y=3.066
Found: "收" at x=22.595, y=3.066
Found: "執" at x=23.345, y=3.066
Found: "聯" at x=24.095, y=3.066
Found: ")" at x=24.845, y=3.066
Found: " " at x=25.094, y=3.066
Found: "學" at x=3.116, y=4.294
Found: "號" at x=4.006, y=4.294
Found: "：" at x=4.897, y=4.294
Found: " " at x=5.342, y=4.294
Found: "科" at x=15.818999999999999, y=4.294
Found: "系" at x=16.709, y=4.294
Found: "：" at x=17.6, y=4.294
Found: "□" at x=18.045, y=4.294
Found: "道" at x=18.574, y=4.294
Found: "碩" at x=19.464, y=4.294
Found: " " at x=20.355, y=4.294
Found: "□" at x=20.598, y=4.294
Found: "研" at x=21.126, y=4.294
Found: "碩" at x=22.017, y=4.294
Found: " " at x=22.907, y=4.294
Found: "□" at x=23.15, y=4.294
Found: "學" at x=23.678, y=4.294
Found: "士" at x=24.569, y=4.294
Found: " " at x=25.46, y=4.294
Found: "□" at x=25.703, y=4.294
Found: "信" at x=26.231, y=4.294
Found: "徒" at x=27.121, y=4.294
Found: "領" at x=28.012, y=4.294
Found: "袖" at x=28.903, y=4.294
Found: "科" at x=29.793, y=4.294
Found: " " at x=30.684, y=4.294
Found: "姓" at x=3.116, y=5.479
Found: "名" at x=4.006, y=5.479
Found: "：" at x=4.897, y=5.479
Found: " " at x=5.342, y=5.479
Found: "請" at x=15.818999999999999, y=5.479
Found: "假" at x=16.709, y=5.479
Found: "原" at x=17.6, y=5.479
Found: "因" at x=18.491, y=5.479
Found: "：" at x=19.381, y=5.479
Found: " " at x=19.827, y=5.479
Found: "請" at x=3.116, y=6.663
Found: "假" at x=4.006, y=6.663
Found: "課" at x=4.897, y=6.663
Found: "程" at x=5.788, y=6.663
Found: "(" at x=6.678, y=6.663
Found: "活" at x=6.969, y=6.663
Found: "動" at x=7.859999999999999, y=6.663
Found: ")" at x=8.751, y=6.663
Found: "請" at x=9.042, y=6.663
Found: "依" at x=9.792, y=6.663
Found: "課" at x=10.542, y=6.663
Found: "程" at x=11.292, y=6.663
Found: "表" at x=12.042, y=6.663
Found: "正" at x=12.792, y=6.663
Found: "確" at x=13.542, y=6.663
Found: "名" at x=14.292, y=6.663
Found: "稱" at x=15.042, y=6.663
Found: "填" at x=15.792000000000002, y=6.663
Found: "寫" at x=16.542, y=6.663
Found: "：" at x=17.292, y=6.663
Found: " " at x=17.737, y=6.663
Found: "假" at x=3.116, y=7.848000000000001
Found: "別" at x=4.006, y=7.848000000000001
Found: "：" at x=4.897, y=7.848000000000001
Found: "□" at x=5.342, y=7.848000000000001
Found: "事" at x=5.87, y=7.848000000000001
Found: "假" at x=6.761, y=7.848000000000001
Found: " " at x=7.652, y=7.848000000000001
Found: "□" at x=7.895, y=7.848000000000001
Found: "病" at x=8.423, y=7.848000000000001
Found: "假" at x=9.313, y=7.848000000000001
Found: " " at x=10.204, y=7.848000000000001
Found: "□" at x=10.447, y=7.848000000000001
Found: "其" at x=10.975, y=7.848000000000001
Found: "他" at x=11.866, y=7.848000000000001
Found: "　" at x=12.756, y=7.848000000000001
